Group of category,Category,sub-Category,Level,Levelname,Data,Indicator,Group of Modality,Modality,years,Comments
Service coverage indicators,Child Health,immunization,National,Rwanda,99.1,Pentavalent3 Coverage (Percent),Education status,Secondary and higher,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,98.5,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,South,96.8,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,West,94.5,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,North,99.2,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,East,97.2,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyarugenge,95.6,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gasabo,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kicukiro,98.5,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyanza,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gisagara,94.3,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyaruguru,94.7,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Huye,97.6,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyamagabe,98.2,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Ruhango,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Muhanga,92.5,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kamonyi,97.9,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Karongi,96.9,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rutsiro,93.7,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rubavu,93.3,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyabihu,95,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Ngororero,88.5,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rusizi,95.1,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyamasheke,98.2,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rulindo,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gakenke,98.5,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Musanze,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Burera,97.7,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gicumbi,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rwamagana,97.7,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyagatare,97.2,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gatsibo,96.6,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kayonza,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kirehe,94,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Ngoma,94.3,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Bugesera,100,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.7,Pentavalent3 Coverage (Percent),Place of residence,Urban,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,97,Pentavalent3 Coverage (Percent),Place of residence,Rural,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.6,Pentavalent3 Coverage (Percent),Wealth quintile,Q1 (Lowest),2010,worst off for populatin
Service coverage indicators,Child Health,immunization,National,Rwanda,95.7,Pentavalent3 Coverage (Percent),Wealth quintile,Q2 (Second),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.1,Pentavalent3 Coverage (Percent),Wealth quintile,Q3 (Middle),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.9,Pentavalent3 Coverage (Percent),Wealth quintile,Q4 (Fourth),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.7,Pentavalent3 Coverage (Percent),Wealth quintile,Q5 (Highest),2010,best off for population
Service coverage indicators,Child Health,immunization,National,Rwanda,95,Pentavalent3 Coverage (Percent),Education status,No education,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,97,Pentavalent3 Coverage (Percent),Education status,Primary,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.3,Pentavalent3 Coverage (Percent),Education status,Secondary and higher,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,84,Polio 3 Coverage (Percent),,,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,86,Polio 3 Coverage (Percent),,,2008,
Service coverage indicators,Child Health,immunization,National,Rwanda,93,Polio 3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,86,Measles Coverage (Percent),,,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,90,Measles Coverage (Percent),,,2008,
Service coverage indicators,Child Health,immunization,National,Rwanda,95,Measles Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,97,BCG Coverage (Percent),,,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,96,BCG Coverage (Percent),,,2008,
Service coverage indicators,Child Health,immunization,National,Rwanda,99,BCG Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,99,BCG Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,75.2,Full immunization coverage (percent),,,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,80,Full immunization coverage (percent),,,2008,
Service coverage indicators,Child Health,immunization,National,Rwanda,90,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,92.6,Full immunization coverage (percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.5,Full immunization coverage (percent),,,2020,
Service coverage indicators,Child Health,immunization,province,Kigali City,96.1,Full immunization coverage (percent),,,2015,
Service coverage indicators,Child Health,immunization,province,South,94.5,Full immunization coverage (percent),,,2015,
Service coverage indicators,Child Health,immunization,province,West,89.8,Full immunization coverage (percent),,,2015,
Service coverage indicators,Child Health,immunization,province,North,94.8,Full immunization coverage (percent),,,2015,
Service coverage indicators,Child Health,immunization,province,East,91,Full immunization coverage (percent),,,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,97.1,Full immunization coverage (percent),,,2020,
Service coverage indicators,Child Health,immunization,province,South,97.3,Full immunization coverage (percent),,,2020,
Service coverage indicators,Child Health,immunization,province,West,94.6,Full immunization coverage (percent),,,2020,
Service coverage indicators,Child Health,immunization,province,North,93.8,Full immunization coverage (percent),,,2020,
Service coverage indicators,Child Health,immunization,province,East,95.2,Full immunization coverage (percent),,,2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,93.4,Full immunization coverage (percent),Place of residence,Urban,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,92.5,Full immunization coverage (percent),Place of residence,Rural,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.0,Full immunization coverage (percent),Place of residence,Urban,2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.2,Full immunization coverage (percent),Place of residence,Rural,2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,86.7,Full immunization coverage (percent),Wealth quintile,Q1 (Lowest),2015,worst off for populatin
Service coverage indicators,Child Health,immunization,National,Rwanda,93.4,Full immunization coverage (percent),Wealth quintile,Q2 (Second),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,93,Full immunization coverage (percent),Wealth quintile,Q3 (Middle),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97,Full immunization coverage (percent),Wealth quintile,Q4 (Fourth),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.2,Full immunization coverage (percent),Wealth quintile,Q5 (Highest),2015,best off for population
Service coverage indicators,Child Health,immunization,National,Rwanda,93.4,Full immunization coverage (percent),Wealth quintile,Q1 (Lowest),2020,worst off for populatin
Service coverage indicators,Child Health,immunization,National,Rwanda,95.2,Full immunization coverage (percent),Wealth quintile,Q2 (Second),2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.1,Full immunization coverage (percent),Wealth quintile,Q3 (Middle),2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.5,Full immunization coverage (percent),Wealth quintile,Q4 (Fourth),2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.9,Full immunization coverage (percent),Wealth quintile,Q5 (Highest),2020,best off for population
Service coverage indicators,Child Health,immunization,National,Rwanda,85.9,Full immunization coverage (percent),Education status,No education,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,93,Full immunization coverage (percent),Education status,Primary,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.9,Full immunization coverage (percent),Education status,Secondary and higher,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.0,Full immunization coverage (percent),Education status,No education,2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.3,Full immunization coverage (percent),Education status,Primary,2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.6,Full immunization coverage (percent),Education status,Secondary,2020,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.8,Full immunization coverage (percent),Education status,More than secondary,2020,
Service coverage indicators,Child Health,immunization,province,Kigali City,96.3,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,province,South,92.8,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,province,West,80.9,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,province,North,93.6,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,province,East,92.8,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,93.3,Full immunization coverage (percent),Place of residence,Urban,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,89.7,Full immunization coverage (percent),Place of residence,Rural,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,86.6,Full immunization coverage (percent),Wealth quintile,Q1 (Lowest),2010,worst off for populatin
Service coverage indicators,Child Health,immunization,National,Rwanda,87.2,Full immunization coverage (percent),Wealth quintile,Q2 (Second),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,91.7,Full immunization coverage (percent),Wealth quintile,Q3 (Middle),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,92.1,Full immunization coverage (percent),Wealth quintile,Q4 (Fourth),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.5,Full immunization coverage (percent),Wealth quintile,Q5 (Highest),2010,best off for population
Service coverage indicators,Child Health,immunization,National,Rwanda,87,Full immunization coverage (percent),Education status,No education,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,90.1,Full immunization coverage (percent),Education status,Primary,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.8,Full immunization coverage (percent),Education status,Secondary and higher,2010,
Service coverage indicators,Child Health,immunization,District,Nyarugenge,94.4,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gasabo,98.2,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kicukiro,94.7,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyanza,100,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gisagara,95.4,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyaruguru,95.2,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Huye,94.4,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyamagabe,96.3,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Ruhango,100,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Muhanga,97.3,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kamonyi,96,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Karongi,93.9,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rutsiro,84.5,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rubavu,69.2,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyabihu,87.3,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Ngororero,76.8,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rusizi,69.1,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyamasheke,89.6,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rulindo,95.2,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gakenke,91.1,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Musanze,100,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Burera,97.7,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gicumbi,93.8,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Rwamagana,93.1,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Nyagatare,95.6,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Gatsibo,94.8,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kayonza,94.7,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Kirehe,84.9,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Ngoma,86.4,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,District,Bugesera,96.8,Full immunization coverage (percent),,,2010,
Service coverage indicators,Child Health,immunization,province,Kigali City,61.7,Full immunization coverage (percent),,,2005,
Service coverage indicators,Child Health,immunization,province,South,84.3,Full immunization coverage (percent),,,2005,
Service coverage indicators,Child Health,immunization,province,West,72,Full immunization coverage (percent),,,2005,
Service coverage indicators,Child Health,immunization,province,North,81.2,Full immunization coverage (percent),,,2005,
Service coverage indicators,Child Health,immunization,province,East,67,Full immunization coverage (percent),,,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,71,Full immunization coverage (percent),Place of residence,Urban,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,75.8,Full immunization coverage (percent),Place of residence,Rural,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,74.3,Full immunization coverage (percent),Wealth quintile,Q1 (Lowest),2005,worst off for populatin
Service coverage indicators,Child Health,immunization,National,Rwanda,73.8,Full immunization coverage (percent),Wealth quintile,Q2 (Second),2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,75,Full immunization coverage (percent),Wealth quintile,Q3 (Middle),2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,78.7,Full immunization coverage (percent),Wealth quintile,Q4 (Fourth),2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,74,Full immunization coverage (percent),Wealth quintile,Q5 (Highest),2005,best off for population
Service coverage indicators,Child Health,immunization,National,Rwanda,71.8,Full immunization coverage (percent),Education status,No education,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,76.2,Full immunization coverage (percent),Education status,Primary,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,77.7,Full immunization coverage (percent),Education status,Secondary and higher,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.1,Pentavalent1 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,99.1,Pentavalent1 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,South,98.6,Pentavalent1 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,West,99.1,Pentavalent1 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,North,100,Pentavalent1 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,East,98.9,Pentavalent1 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.7,Pentavalent1 Coverage (Percent),Place of residence,Urban,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.2,Pentavalent1 Coverage (Percent),Place of residence,Rural,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.1,Pentavalent1 Coverage (Percent),Wealth quintile,Q1 (Lowest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.6,Pentavalent1 Coverage (Percent),Wealth quintile,Q2 (Second),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.1,Pentavalent1 Coverage (Percent),Wealth quintile,Q3 (Middle),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,100,Pentavalent1 Coverage (Percent),Wealth quintile,Q4 (Fourth),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.9,Pentavalent1 Coverage (Percent),Wealth quintile,Q5 (Highest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98,Pentavalent1 Coverage (Percent),Education status,No education,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.3,Pentavalent1 Coverage (Percent),Education status,Primary,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.1,Pentavalent1 Coverage (Percent),Education status,Secondary and higher,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,99.6,BCG Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,South,98.8,BCG Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,West,98.8,BCG Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,North,100,BCG Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,East,98,BCG Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.2,BCG Coverage (Percent),Place of residence,Urban,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.8,BCG Coverage (Percent),Place of residence,Rural,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.2,BCG Coverage (Percent),Wealth quintile,Q1 (Lowest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.6,BCG Coverage (Percent),Wealth quintile,Q2 (Second),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.8,BCG Coverage (Percent),Wealth quintile,Q3 (Middle),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,100,BCG Coverage (Percent),Wealth quintile,Q4 (Fourth),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.3,BCG Coverage (Percent),Wealth quintile,Q5 (Highest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.1,BCG Coverage (Percent),Education status,No education,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99,BCG Coverage (Percent),Education status,Primary,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,100,BCG Coverage (Percent),Education status,Secondary and higher,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.6,Polio 3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,98.7,Polio 3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,South,98.2,Polio 3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,West,95.6,Polio 3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,North,97.5,Polio 3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,East,95,Polio 3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.7,Polio 3 Coverage (Percent),Place of residence,Urban,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.6,Polio 3 Coverage (Percent),Place of residence,Rural,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,93.5,Polio 3 Coverage (Percent),Wealth quintile,Q1 (Lowest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.4,Polio 3 Coverage (Percent),Wealth quintile,Q2 (Second),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.3,Polio 3 Coverage (Percent),Wealth quintile,Q3 (Middle),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.7,Polio 3 Coverage (Percent),Wealth quintile,Q4 (Fourth),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.2,Polio 3 Coverage (Percent),Wealth quintile,Q5 (Highest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,93.4,Polio 3 Coverage (Percent),Education status,No education,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.8,Polio 3 Coverage (Percent),Education status,Primary,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99,Polio 3 Coverage (Percent),Education status,Secondary and higher,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.2,Measles Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,97.4,Measles Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,South,94.9,Measles Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,West,93.1,Measles Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,North,97.4,Measles Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,East,95.1,Measles Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.4,Measles Coverage (Percent),Place of residence,Urban,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,94.9,Measles Coverage (Percent),Place of residence,Rural,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,91.3,Measles Coverage (Percent),Wealth quintile,Q1 (Lowest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,94.9,Measles Coverage (Percent),Wealth quintile,Q2 (Second),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.1,Measles Coverage (Percent),Wealth quintile,Q3 (Middle),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.3,Measles Coverage (Percent),Wealth quintile,Q4 (Fourth),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,97,Measles Coverage (Percent),Wealth quintile,Q5 (Highest),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.7,Measles Coverage (Percent),Education status,No education,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.7,Measles Coverage (Percent),Education status,Primary,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.7,Measles Coverage (Percent),Education status,Secondary and higher,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.8,Pentavalent1 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,Kigali City,99.2,Pentavalent1 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,South,98.7,Pentavalent1 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,West,98.3,Pentavalent1 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,North,100,Pentavalent1 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,province,East,98.7,Pentavalent1 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.4,Pentavalent1 Coverage (Percent),Place of residence,Urban,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.8,Pentavalent1 Coverage (Percent),Place of residence,Rural,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.5,Pentavalent1 Coverage (Percent),Wealth quintile,Q1 (Lowest),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,97.6,Pentavalent1 Coverage (Percent),Wealth quintile,Q2 (Second),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,99,Pentavalent1 Coverage (Percent),Wealth quintile,Q3 (Middle),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,100,Pentavalent1 Coverage (Percent),Wealth quintile,Q4 (Fourth),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.6,Pentavalent1 Coverage (Percent),Wealth quintile,Q5 (Highest),2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98,Pentavalent1 Coverage (Percent),Education status,No education,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.9,Pentavalent1 Coverage (Percent),Education status,Primary,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,99.5,Pentavalent1 Coverage (Percent),Education status,Secondary and higher,2010,
Risk factors indicators,Nutrition,,National,Rwanda,51,Stunting (Height for age),,,2005,
Risk factors indicators,Nutrition,,National,Rwanda,44,Stunting (Height for age),,,2010,
Risk factors indicators,Nutrition,,National,Rwanda,38,Stunting (Height for age),,,2015,
Risk factors indicators,Nutrition,,National,Rwanda,5,Wasting (Weight for height),,,2005,
Risk factors indicators,Nutrition,,National,Rwanda,3,Wasting (Weight for height),,,2010,
Risk factors indicators,Nutrition,,National,Rwanda,2,Wasting (Weight for height),,,2015,
Risk factors indicators,Nutrition,,National,Rwanda,18,Underweight (Weightfor age),,,2005,
Risk factors indicators,Nutrition,,National,Rwanda,11,Underweight (Weightfor age),,,2010,
